,runID,module,name,vectime,vecvalue,configname,datetime,datetimef,experiment,inifile,iterationvars,iterationvarsd,iterationvarsf,measurement,network,processid,repetition,replication,resultdir,runnumber,seedset,unit,legend
1,ParallelDrones-0-20250515-21:18:22-523997,BasicUav.host[0].wlan[0].mgmt,Reception Power,[ 0.29646847  0.79646847  1.29646847  1.79646847  2.29646847  2.79646847  3.29646847  3.79646847  4.29646847  4.79646847  5.29646847  5.79646847  6.29646847  6.79646847  7.29646847  7.79646847  8.29646847  8.79646847  9.29646847  9.79646847 10.29646847 10.79646847 11.29646847 11.79646847 12.29646847 12.79646847 13.29646847 13.79646847 14.29646847 14.79646847 15.29646847 15.79646847 16.29646847 16.79646847 17.29646847 17.79646847 18.29646847 18.79646847 19.29646847 19.79646847 20.29646847 20.79646847 21.29646847 21.79646847 22.29646847 22.79646847 23.29646847 23.79646847 24.29646847 24.79646847 25.29646847 25.79646847 26.29646847 26.79646847 27.29646847 27.79646847 28.29646847 28.79646847 29.29646847 29.79646847 30.29646847 30.79646847 31.29646847 31.79646847 32.29646847 32.79646847 33.29646847 33.79646847 34.29646847 34.79646847 35.29646847 35.79646847 36.29646847 36.79646847 37.29646847 37.79646847 38.29646847 38.79646847 39.29646847 39.79646847 40.29646847 40.79646847 41.29646847 41.79646847 42.29646847 42.79646847 43.29646847 43.79646847 44.29646847 44.79646847 45.29646847 45.79646847 46.29646847 46.79646847 47.29646847 47.79646847 48.29646847 48.79646847 49.29646847 49.79646847 50.29646847 50.79646847 51.29646847 51.79646847 52.29646847 52.79646847 53.29646847 53.79646847 54.29646847 54.79646847 55.29646847 55.79646847 56.29646847 56.79646847 57.29646847 57.79646847 58.29646847 58.79646847 59.29646847 59.79646847 60.29646847 60.79646847 61.29646847 61.79646847 62.29646847 62.79646847 63.29646847 63.79646847 64.29646847 64.79646847 65.29646847 65.79646847 66.29646847 66.79646847 67.29646847 67.79646847 68.29646847 68.79646847 69.29646847 69.79646847 70.29646847 70.79646847 71.29646847 71.79646847 72.29646847 72.79646847 73.29646847 73.79646847 74.29646847 74.79646847 75.29646847 75.79646847 76.29646847 76.79646847 77.29646847 77.79646847 78.29646847 78.79646847 79.29646847 79.79646847 80.29646847 80.79646847 81.29646847 81.79646847 82.29646847 82.79646847 83.29646847 83.79646847 84.29646847 84.79646847 85.29646847 85.79646847 86.29646847 86.79646847 87.29646847 87.79646847 88.29646847 88.79646847 89.29646847 89.79646847 90.29646847 90.79646847 91.29646847 91.79646847 92.29646847 92.79646847 93.29646847 93.79646847 94.29646847 94.79646847 95.29646847 95.79646847 96.29646847 96.79646847 97.29646847 97.79646847 98.29646847 98.79646847 99.29646847 99.79646847],[-61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778 -61.17122778],ParallelDrones,20250515-21:18:22,20250515-211822,ParallelDrones,omnetpp.ini,,,,,BasicUav,523997,0,#0,results,0,0,,configname=ParallelDrones
0,PerpendicularDrones-0-20250515-18:19:49-495426,BasicUav.host[0].wlan[0].mgmt,Reception Power,[ 0.29647066  0.79647065  1.29647064  1.79647062  2.29647061  2.7964706   3.29647059  3.79647058  4.29647057  4.79647055  5.29647054  5.79647053  6.29647052  6.79647051  7.29647049  7.79647048  8.29647047  8.79647046  9.29647045  9.79647044 10.29647042 10.79647041 11.2964704  11.79647039 12.29647038 12.79647037 13.29647035 13.79647034 14.29647033 14.79647032 15.29647031 15.79647029 16.29647028 16.79647027 17.29647026 17.79647025 18.29647024 18.79647022 19.29647021 19.7964702  20.29647019 20.79647018 21.29647016 21.79647015 22.29647014 22.79647013 23.29647012 23.79647011 24.29647009 24.79647008 25.29647007 25.79647006 26.29647005 26.79647003 27.29647002 27.79647001 28.29647    28.79646999 29.29646998 29.79646996 30.29646995 30.79646994 31.29646993 31.79646992 32.29646991 32.79646989 33.29646988 33.79646987 34.29646986 34.79646985 35.29646983 35.79646982 36.29646981 36.7964698  37.29646979 37.79646978 38.29646976 38.79646975 39.29646974 39.79646973 40.29646972 40.7964697  41.29646969 41.79646968 42.29646967 42.79646966 43.29646965 43.79646963 44.29646962 44.79646961 45.2964696  45.79646959 46.29646957 46.79646956 47.29646955 47.79646954 48.29646953 48.79646952 49.2964695  49.79646949 50.29646948 50.79646947 51.29646946 51.79646945 52.29646943 52.79646942 53.29646941 53.7964694  54.29646939 54.79646937 55.29646936 55.79646935 56.29646934 56.79646933 57.29646932 57.7964693  58.29646929 58.79646928 59.29646927 59.79646926 60.29646924 60.79646923 61.29646922 61.79646921 62.2964692  62.79646919 63.29646917 63.79646916 64.29646915 64.79646914 65.29646913 65.79646911 66.2964691  66.79646909 67.29646908 67.79646907 68.29646906 68.79646904 69.29646903 69.79646902 70.29646901 70.796469   71.29646899 71.79646897 72.29646896 72.79646895 73.29646894 73.79646893 74.29646891 74.7964689  75.29646889 75.79646888 76.29646887 76.79646886 77.29646884 77.79646883 78.29646882 78.79646881 79.2964688  79.79646878 80.29646877 80.79646876 81.29646875 81.79646874 82.29646873 82.79646871 83.2964687  83.79646869 84.29646868 84.79646867 85.29646866 85.79646864 86.29646863 86.79646862 87.29646861 87.7964686  88.29646858 88.79646857 89.29646856 89.79646855 90.29646854 90.79646853 91.29646851 91.7964685  92.29646849 92.79646848 93.29646847 93.79646845 94.29646844 94.79646843 95.29646842 95.79646841 96.2964684  96.79646838 97.29646837 97.79646836 98.29646835 98.79646834 99.29646832 99.79646831],[-84.04467093 -84.0021056  -83.95931435 -83.91629494 -83.87304509 -83.82956248 -83.78584477 -83.74188956 -83.69769444 -83.65325693 -83.60857455 -83.56364474 -83.51846494 -83.47303251 -83.42734479 -83.38139907 -83.33519261 -83.2887226  -83.24198621 -83.19498053 -83.14770265 -83.10014956 -83.05231823 -83.00420557 -82.95580844 -82.90712364 -82.85814793 -82.808878   -82.75931048 -82.70944195 -82.65926892 -82.60878786 -82.55799514 -82.50688711 -82.45546001 -82.40371005 -82.35163333 -82.29922593 -82.2464838  -82.19340286 -82.13997894 -82.08620777 -82.03208503 -81.97760631 -81.92276709 -81.8675628  -81.81198876 -81.75604019 -81.69971224 -81.64299995 -81.58589826 -81.528402   -81.47050591 -81.41220463 -81.35349266 -81.29436441 -81.23481418 -81.17483612 -81.11442428 -81.05357257 -80.9922748  -80.9305246  -80.86831549 -80.80564085 -80.74249391 -80.67886773 -80.61475525 -80.55014921 -80.48504223 -80.41942672 -80.35329495 -80.28663898 -80.21945069 -80.15172179 -80.08344377 -80.01460793 -79.94520534 -79.87522687 -79.80466316 -79.73350462 -79.66174142 -79.58936347 -79.51636045 -79.44272174 -79.36843647 -79.29349349 -79.21788133 -79.14158824 -79.06460216 -78.98691067 -78.90850104 -78.82936018 -78.74947463 -78.66883058 -78.58741379 -78.50520965 -78.42220308 -78.33837862 -78.25372031 -78.16821174 -78.08183598 -77.99457563 -77.90641271 -77.81732871 -77.72730454 -77.63632051 -77.54435628 -77.45139087 -77.35740261 -77.26236913 -77.16626729 -77.06907319 -76.97076208 -76.87130841 -76.77068569 -76.66886652 -76.56582251 -76.46152424 -76.35594122 -76.24904184 -76.14079327 -76.03116146 -75.92011105 -75.80760528 -75.69360596 -75.57807334 -75.4609661  -75.34224118 -75.22185375 -75.09975706 -74.97590237 -74.85023882 -74.72271329 -74.5932703  -74.46185181 -74.32839712 -74.19284269 -74.05512193 -73.91516503 -73.77289874 -73.62824614 -73.48112641 -73.33145451 -73.17914094 -73.0240914  -72.86620642 -72.705381   -72.54150419 -72.37445864 -72.20412005 -72.03035667 -71.85302866 -71.67198744 -71.4870749  -71.29812261 -71.10495088 -70.90736775 -70.70516782 -70.49813101 -70.28602107 -70.068584   -69.84554621 -69.61661245 -69.38146346 -69.13975332 -68.89110636 -68.63511364 -68.37132898 -68.09926418 -67.81838368 -67.52809815 -67.22775709 -66.91664005 -66.59394621 -66.25878196 -65.91014602 -65.5469114  -65.16780341 -64.77137269 -64.35596177 -63.91966321 -63.46026664 -62.97519103 -62.46139688 -61.91527077 -61.33247111 -60.70771825 -60.03450323 -59.30467368 -58.50782934 -57.63041127 -56.65427706 -55.55436965 -54.29468497 -52.82079044 -51.0446086  -48.80930237 -45.79156261 -41.12833209 -30.35669975],PerpendicularDrones,20250515-18:19:49,20250515-181949,PerpendicularDrones,omnetpp.ini,,,,,BasicUav,495426,0,#0,results,0,0,,configname=PerpendicularDrones
