source_file,variant,name,time,value
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,nan,,
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,nan,,
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,nan,,
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,nan,,
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,nan,,
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,nan,,
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,nan,,
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,nan,,
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,nan,,
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,nan,,
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,nan,,
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,nan,,
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,nan,,
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,nan,,
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,nan,,
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,nan,,
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,nan,,
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,nan,,
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,nan,,
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,nan,,
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,nan,,
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,nan,,
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,nan,,
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,nan,,
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,nan,,
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,nan,,
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,nan,,
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,nan,,
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,0.25,0.0
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,0.5,0.0
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,0.75,0.0
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,1.0,0.0
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,1.25,0.0
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,1.5,0.0
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,1.75,0.0
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,2.0,0.0
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,2.25,0.0
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,2.5,0.0
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,2.75,75.785816023928
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,3.0,73.18968976467
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,3.25,70.679107065492
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,3.5,68.364650300971
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,3.75,66.271979729252
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,4.0,64.400363002263
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,4.25,62.737277283963
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,4.5,61.255175798839
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,4.75,59.922241751496
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,5.0,58.665212133258
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,5.25,57.411646287105
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,5.5,56.111704142474
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,5.75,54.73057697438
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,6.0,53.241029811406
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,6.25,51.680763179197
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,6.5,50.166381357041
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,6.75,48.831521441604
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,7.0,47.792802393044
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,7.25,47.116119746082
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,7.5,46.781929250519
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,7.75,46.783685276629
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,8.0,47.167287535185
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,8.25,47.966069204992
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,8.5,49.184391947142
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,8.75,50.76558079305
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,9.0,52.579271044309
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,9.25,54.465019260379
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,9.5,56.310923423386
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,9.75,58.051053406742
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,10.0,59.681829087602
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,10.25,61.230357778618
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,10.5,62.743810272664
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,10.75,64.268792677886
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,11.0,65.833972997122
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,11.25,67.451453524067
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,11.5,69.11288588126
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,11.75,70.789174354154
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,12.0,72.414024701901
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,12.25,73.922337267589
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,12.5,75.264281871802
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,12.75,76.397577601083
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,13.0,77.290507495068
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,13.25,77.891992820429
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,13.5,78.146984668671
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,13.75,78.029361798989
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,14.0,77.516051494143
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,14.25,76.615334378409
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,14.5,75.346520717989
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,14.75,73.791787105019
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,15.0,72.063056741331
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,15.25,70.28567730092
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,15.5,68.554583422415
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,15.75,66.936171638399
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,16.0,65.436149863453
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,16.25,64.042047790928
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,16.5,62.704837130139
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,16.75,61.382921139426
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,17.0,60.039170888467
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,17.25,58.660184461612
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,17.5,57.246915296401
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,17.75,55.817838813237
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,18.0,54.390886062073
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,18.25,52.989161092154
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,18.5,51.620256272315
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,18.75,50.292081372243
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,19.0,48.99730922374
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,19.25,47.73360170867
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,19.5,46.491313799847
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,19.75,45.270276918647
circle8_s00000-circle8_s00000_Aware-#0-gcs.csv,Aware,min_benign_spoofer_distance_now_m,20.0,44.067558765095
