Metric,4 Agents (SA),4 Agents (RID),8 Agents (SA),8 Agents (RID),12 Agents (SA),12 Agents (RID),16 Agents (SA),16 Agents (RID)
Total NMACs,0.300 ± 0.466,0.267 ± 0.450,1.733 ± 1.230,1.933 ± 1.507,4.067 ± 2.545,4.933 ± 1.929,7.000 ± 3.311,8.967 ± 3.264
Benign-Benign,0.267 ± 0.450,0.267 ± 0.450,1.633 ± 1.273,1.200 ± 1.064,3.700 ± 2.409,3.533 ± 1.655,6.767 ± 3.245,6.767 ± 2.967
Benign-Spoofer,0.033 ± 0.183,0.000 ± 0.000,0.100 ± 0.305,0.733 ± 0.691,0.367 ± 0.556,1.400 ± 0.814,0.233 ± 0.568,2.200 ± 0.805
Unsafe violations,2.700 ± 3.669,N/A,0.933 ± 1.230,N/A,1.533 ± 2.177,N/A,3.033 ± 2.965,N/A
