Metric,4 Agents (SA),8 Agents (SA),12 Agents (SA),16 Agents (SA)
Spoofer containment rate,0.368 ± 0.221,0.853 ± 0.136,0.855 ± 0.186,0.857 ± 0.118
Raw RSSI NLLS Multilateration spoofer x error vs ground truth (m),150.857 ± 252.911,58.864 ± 15.954,55.543 ± 17.285,52.095 ± 14.937
"Predicted spoofer $\mu$ error vs ground truth (RMSE, m)",542.649 ± 570.109,65.090 ± 23.126,114.365 ± 279.033,63.501 ± 22.431
"Predicted spoofer $\mu$ error vs ground truth (MAE, m)",386.441 ± 444.420,54.008 ± 16.468,95.882 ± 239.415,50.367 ± 15.438
Spoofer unsafe ellipsoid radius max (m),81.417 ± 7.939,87.698 ± 2.485,88.525 ± 1.699,88.731 ± 1.216
