Metric,4 Agents (SA),4 Agents (RID),8 Agents (SA),8 Agents (RID),12 Agents (SA),12 Agents (RID),16 Agents (SA),16 Agents (RID)
Total NMACs,0.367 ± 0.490,2.333 ± 1.626,1.633 ± 1.129,6.000 ± 2.971,4.567 ± 2.144,15.500 ± 3.839,8.633 ± 3.810,23.433 ± 6.872
Benign-Benign,0.267 ± 0.450,2.333 ± 1.626,1.300 ± 1.119,5.267 ± 2.766,4.167 ± 2.183,9.400 ± 3.420,8.400 ± 3.578,14.900 ± 5.208
Benign-Spoofer,0.100 ± 0.305,0.000 ± 0.000,0.333 ± 0.479,0.733 ± 0.691,0.400 ± 0.563,6.100 ± 3.155,0.233 ± 0.568,8.533 ± 2.933
Unsafe violations,1.633 ± 2.266,N/A,1.200 ± 2.041,N/A,1.767 ± 1.813,N/A,3.100 ± 3.478,N/A
